"","code_insee","commune","code_region","region","code_departement","departement","pop_total","pop_unemployment","pop_executive","pop_employment","pop_worker","pop_no_degree","pop_degree","unemployment","farming","executive","employment","worker","student","no_degree","degree","rent","maison","home","caneva"
"1593","34192","Palavas-les-Flots","76","Occitanie","34","Hérault",5903,440.077278278432,305.795201322133,875.679742064699,311.857885435574,1004.46255087564,439.711962763819,18.4311661871398,0.389671172423091,12.8072101264728,36.6749197228373,13.061125390792,52.1278212953949,20.7650490761184,9.0900755614905,45.3688932179186,28.3606115875533,71.1688333794212,"sud"
"1594","34194","Paulhan","76","Occitanie","34","Hérault",3977,312.114639932841,59.4504076062553,564.778872259425,386.473867918289,687.997861001702,125.82093545415,18.7942263301182,2.38656842287215,3.57985263430822,34.0086000259281,23.2718252046602,31.9233299780958,22.8154808409183,4.17249137673332,27.7777777777778,86.31156930126,13.1729667812142,"sud"
"1595","34198","Pérols","76","Occitanie","34","Hérault",9000,505.058692351277,763.57687677614,1097.95367902451,374.302390576539,981.437674830771,1044.24057394779,12.6027397260274,0.871731008717309,19.0535491905355,27.3972602739725,9.33997509339975,64.9789029535865,14.3317191671371,15.2488161322422,29.161633244745,75.2355641459289,24.4503503261656,"sud"
"1596","34199","Pézenas","76","Occitanie","34","Hérault",8148.00000000003,583.572828368486,342.433561024215,907.178739694112,645.672049612478,1497.65777844243,567.706687544699,18.7411685489453,2.83258474515872,10.9970937164985,29.1336210977455,20.7354560063405,43.051640350008,23.2697140886007,8.82068820761615,48.7761796618724,49.7602826141811,49.7855160232147,"sud"
"1597","34202","Pignan","76","Occitanie","34","Hérault",7341.00000000001,417.940398488145,502.895490738355,994.842777910563,539.329934448493,856.000265354936,607.461135295942,12.1457949282026,0.152279600048829,14.6146807605131,28.911195017315,15.673504657957,49.7192176624332,16.1705358164075,11.4754310751359,26.8397847538966,77.3724272407851,22.2614541821448,"sud"
"1598","34207","Pomérols","76","Occitanie","34","Hérault",2242,133.887874404401,66.9439372022004,216.280412499417,195.682277975663,411.308013874415,73.1233775593267,15.5502392344498,5.38277511961721,7.77511961722487,25.1196172248804,22.7272727272727,35.4838709677419,22.7701241737196,4.04813018677539,19.0476190476191,92.4198250728866,7.38581146744415,"sud"
"1599","34209","Portiragnes","76","Occitanie","34","Hérault",3115,242.722235115204,118.079182263057,406.439836215116,164.075819985517,555.415179633249,162.070798520746,20.3648787355157,1.25143906362766,9.90707846289683,34.1011113953987,13.7662879375243,41.4546167470092,22.2800620061958,6.50134813171701,27.3084933732422,87.4069971020103,10.9551964835098,"sud"
"1600","34210","Le Pouget","76","Occitanie","34","Hérault",2068,113.405095952266,98.6131269150138,300.770037090792,147.919690372521,250.15464135373,116.363489759716,11.3636363636364,2.47035573122529,9.88142292490119,30.1383399209486,14.8221343873518,42.0168067226891,16.2706293025558,7.56854718339949,22.2950819672131,88.3060109289618,11.1475409836066,"sud"
"1601","34213","Poussan","76","Occitanie","34","Hérault",5982.99999999999,366.733511342168,370.573390391816,887.009308574038,480.337626586445,853.777698079069,322.884636977148,13.0564806545082,2.14966925284706,13.1931883863538,31.5793880831363,17.1010249546213,36.6692872170241,19.2156797508066,7.26705299818421,30.1830508862805,75.7198920533839,23.2490304368923,"sud"
"1602","34217","Prades-le-Lez","76","Occitanie","34","Hérault",5580.99999999999,277.557078685509,623.323428574965,650.23022033055,232.046883825623,483.638219286282,815.270344925012,9.81925827561352,0.175295940140845,22.0515857977938,23.0034791484066,8.20922418958302,59.7553319447232,12.0491642195043,20.3113109708119,29.4604475834937,76.4587296828181,23.4015242109869,"sud"
"1603","34225","Puisserguier","76","Occitanie","34","Hérault",2974,213.347169418348,92.9723903428581,347.423142860154,322.956724348876,515.517790528605,143.943776308679,16.665561020606,6.49803984748401,7.2625151236586,27.1388723041979,25.2276841137615,33.1480369792291,21.8142842130501,6.09102247252707,25.5411255411255,88.3116883116879,11.3275613275613,"sud"
"1604","34237","Roujan","76","Occitanie","34","Hérault",2169,167.057414489642,100.471531634999,266.176948457395,234.830572382458,370.376071926686,101.472276773279,18.691426144616,6.24733983539301,11.241382005876,29.781538213613,26.2743100244543,26.7918199158052,21.3026206862132,5.83629879495966,25.5122575118737,91.2110581509934,8.47876637343526,"sud"
"1605","34239","Saint-André-de-Sangonis","76","Occitanie","34","Hérault",6063,376.894797467552,373.068454346054,798.749126612706,535.688037009719,880.827367342918,374.025040126429,13.5488308115543,0.515818431911968,13.4112792297111,28.7138927097662,19.2572214580468,35.4494350715408,20.1437272977557,8.55361526012364,28.1262023855329,81.9161215852253,17.9684494036168,"sud"
